,fool_rating,fool_url
379,0,https://www.fool.com/quote/BKSC
380,None,https://www.fool.com/quote/BOTJ
381,3,https://www.fool.com/quote/OZK
382,0,https://www.fool.com/quote/BSVN
383,0,https://www.fool.com/quote/BFIN
384,0,https://www.fool.com/quote/BWFG
385,0,https://www.fool.com/quote/BANR
386,5,https://www.fool.com/quote/BZUN
387,None,https://www.fool.com/quote/DFVL
388,None,https://www.fool.com/quote/DFVS
389,None,https://www.fool.com/quote/DLBS
390,None,https://www.fool.com/quote/DTUL
391,0,https://www.fool.com/quote/DTUS
392,None,https://www.fool.com/quote/DTYL
393,None,https://www.fool.com/quote/DTYS
394,None,https://www.fool.com/quote/FLAT
395,None,https://www.fool.com/quote/STPP
396,None,https://www.fool.com/quote/TAPR
397,4,https://www.fool.com/quote/BBSI
398,4,https://www.fool.com/quote/GOLD
399,0,https://www.fool.com/quote/BSET
400,None,https://www.fool.com/quote/GLG
401,None,https://www.fool.com/quote/ZTEST
402,None,https://www.fool.com/quote/BCML
403,0,https://www.fool.com/quote/BCBP
404,0,https://www.fool.com/quote/BECN
405,0,https://www.fool.com/quote/BBGI
406,1,https://www.fool.com/quote/BBBY
407,3,https://www.fool.com/quote/BGNE
408,0,https://www.fool.com/quote/BELFA
409,0,https://www.fool.com/quote/BELFB
410,0,https://www.fool.com/quote/BLPH
411,3,https://www.fool.com/quote/BLCM
412,0,https://www.fool.com/quote/BNFT
413,0,https://www.fool.com/quote/BNTC
414,None,https://www.fool.com/quote/BNTCW
415,0,https://www.fool.com/quote/BRY
416,None,https://www.fool.com/quote/XAIR
417,2,https://www.fool.com/quote/BYND
418,None,https://www.fool.com/quote/BYSI
419,5,https://www.fool.com/quote/BGCP
420,0,https://www.fool.com/quote/BCYC
421,2,https://www.fool.com/quote/BGFV
422,None,https://www.fool.com/quote/BRPA
423,None,https://www.fool.com/quote/BRPAR
424,None,https://www.fool.com/quote/BRPAU
425,None,https://www.fool.com/quote/BRPAW
426,4,https://www.fool.com/quote/BILI
427,0,https://www.fool.com/quote/BASI
428,1,https://www.fool.com/quote/BIOC
429,2,https://www.fool.com/quote/BCRX
430,5,https://www.fool.com/quote/BDSI
431,0,https://www.fool.com/quote/BFRA
432,4,https://www.fool.com/quote/BIIB
433,None,https://www.fool.com/quote/BHTG
434,None,https://www.fool.com/quote/BKYI
435,0,https://www.fool.com/quote/BIOL
436,1,https://www.fool.com/quote/BLFS
437,0,https://www.fool.com/quote/BLRX
438,4,https://www.fool.com/quote/BMRN
439,None,https://www.fool.com/quote/BMRA
440,0,https://www.fool.com/quote/BNGO
441,None,https://www.fool.com/quote/BNGOW
442,0,https://www.fool.com/quote/BVXV
443,None,https://www.fool.com/quote/BVXVW
444,1,https://www.fool.com/quote/BPTH
445,1,https://www.fool.com/quote/BIOS
446,0,https://www.fool.com/quote/BSGM
447,0,https://www.fool.com/quote/BSTC
448,0,https://www.fool.com/quote/TECH
449,3,https://www.fool.com/quote/BEAT
450,2,https://www.fool.com/quote/BTAI
451,0,https://www.fool.com/quote/BIQI
452,4,https://www.fool.com/quote/BJRI
453,None,https://www.fool.com/quote/BRAC
454,None,https://www.fool.com/quote/BRACR
455,None,https://www.fool.com/quote/BRACU
456,None,https://www.fool.com/quote/BRACW
457,2,https://www.fool.com/quote/BLKB
458,5,https://www.fool.com/quote/BL
459,0,https://www.fool.com/quote/BKCC
460,5,https://www.fool.com/quote/TCPC
461,2,https://www.fool.com/quote/BLNK
462,None,https://www.fool.com/quote/BLNKW
463,3,https://www.fool.com/quote/BLMN
464,0,https://www.fool.com/quote/BCOR
465,None,https://www.fool.com/quote/BLBD
466,None,https://www.fool.com/quote/BHAT
467,4,https://www.fool.com/quote/BLUE
468,0,https://www.fool.com/quote/BKEP
469,None,https://www.fool.com/quote/BKEPP
470,4,https://www.fool.com/quote/BPMC
471,None,https://www.fool.com/quote/ITEQ
472,None,https://www.fool.com/quote/BMCH
473,3,https://www.fool.com/quote/WIFI
474,0,https://www.fool.com/quote/BOKF
475,None,https://www.fool.com/quote/BOKFL
476,0,https://www.fool.com/quote/BNSO
477,4,https://www.fool.com/quote/BKNG
478,None,https://www.fool.com/quote/BRQS
479,5,https://www.fool.com/quote/BOMN
480,0,https://www.fool.com/quote/BPFH
481,0,https://www.fool.com/quote/EPAY
482,None,https://www.fool.com/quote/BOXL
483,None,https://www.fool.com/quote/BWMC
484,None,https://www.fool.com/quote/BWMCU
485,None,https://www.fool.com/quote/BWMCW
486,1,https://www.fool.com/quote/BCLI
487,None,https://www.fool.com/quote/BWAY
488,0,https://www.fool.com/quote/BDGE
489,0,https://www.fool.com/quote/BBIO
490,0,https://www.fool.com/quote/BLIN          
491,0,https://www.fool.com/quote/BWB
492,0,https://www.fool.com/quote/BRID
493,1,https://www.fool.com/quote/BCOV
494,3,https://www.fool.com/quote/BHF
495,None,https://www.fool.com/quote/BHFAL
